日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,avg
2017/03/24,沙鹿,PM2.5,26,25,18,13,11,14,13,11,14,16,18,22,28,30,26,20,15,19,24,22,22,24,45,51,22
2017/03/25,沙鹿,PM2.5,38,35,27,18,17,21,17,12,11,13,12,9,8,11,13,13,8,6,7,9,8,11,10,6,14
2017/03/26,沙鹿,PM2.5,8,9,5,5,7,6,4,7,16,27,39,63,60,18,38,58,36,39,57,56,35,34,31,28,29
2017/03/27,沙鹿,PM2.5,20,8,8,10,12,13,10,10,13,14,25,31,34,34,29,28,27,26,30,32,33,37,39,44,24
2017/03/28,沙鹿,PM2.5,55,97,113,92,97,82,44,34,60,57,39,46,52,51,39,24,53,74,53,58,59,53,62,66,61
2017/03/29,沙鹿,PM2.5,47,32,34,45,45,47,58,51,51,57,37,28,33,27,22,34,41,45,49,39,33,38,37,37,40
2017/03/30,沙鹿,PM2.5,43,45,46,44,41,52,61,59,58,53,-2#,40,40,44,52,59,60,68,73,68,68,68,50,47,54
2017/03/31,沙鹿,PM2.5,52,44,43,47,56,64,60,54,49,41,42,40,40,44,46,28,7,7,6,4,4,5,6,4,33
2017/04/01,沙鹿,PM2.5,2,4,3,1,3,9,16,20,21,19,23,38,49,52,53,52,54,59,55,42,32,30,29,28,29
2017/04/02,沙鹿,PM2.5,28,26,29,33,27,21,20,21,27,31,35,36,36,39,41,48,50,49,48,39,49,54,53,60,38
2017/04/03,沙鹿,PM2.5,70,73,66,58,47,38,28,28,38,46,44,38,32,8,5,25,28,29,22,44,50*,52*,49,50,39
2017/04/04,沙鹿,PM2.5,58,39,37,37,36,35,36,39,37,33,-2#,31,5,7,29,25,27,31,57*,57,30,25,18,19,31
2017/04/05,沙鹿,PM2.5,26,30,30,26,22,23,23,22,23,18,21,23,18,1,4,23,28,54*,54,32,30,28,30,34,25
2017/04/06,沙鹿,PM2.5,40,49,51,46,43,41,39,43,46,44,50,48,29,26,46,53,63,60,33,32,40,48,50,48,45
2017/04/07,沙鹿,PM2.5,52,57,59,60,60,59,62,59,40,27,28,29,35,33,29,20,10,17,18,17,17,18,20,21,35
2017/04/08,沙鹿,PM2.5,17,14,15,17,19,25,27,24,23,27,31,34,33,29,22,23,25,19,16,14,14,17,13,9,21
2017/04/09,沙鹿,PM2.5,14,18,16,15,18,21,20,20,20,20,26,29,28,25,24,25,18,21,26,20,19,19,18,17,21
2017/04/10,沙鹿,PM2.5,19,19,14,15,15,14,12,10,12,18,16,9,4,1,16,31,12,19,17,13,14,12,10,12,14
2017/04/11,沙鹿,PM2.5,19,15,9,8,4,4,8,11,18,16,18,20,14,16,20,23,26,29,29,30,36,35,25,20,19
2017/04/12,沙鹿,PM2.5,24,28,23,18,15,12,11,10,12,13,11,11,16,25,23,12,9,13,18,25,31,41,45,37,20
2017/04/13,沙鹿,PM2.5,43,57,56,56,56,52,46,42,38,32,33,34,34,33,27,28,26,21,28,34,34,31,27,24,37
2017/04/14,沙鹿,PM2.5,29,38,38,37,38,28,17,20,20,18,17,19,26,23,17,16,16,21,22,22,22,23,24,28,24
2017/04/15,沙鹿,PM2.5,30,29,28,31,32,33,37,39,46,52,55,53,45,38,37,34,24,21,26,31,36,36,42,50,37
2017/04/16,沙鹿,PM2.5,55,58,54,51,51,53,56,53,34,23,27,21,15,18,17,15,23,25,23,21,22,28,30,29,33
2017/04/17,沙鹿,PM2.5,30,33,28,26,29,28,28,28,22,19,17,13,19,25,19,14,16,14,17,18,11,10,9,9,20
2017/04/18,沙鹿,PM2.5,13,19,17,13,11,8,6,8,13,16,17,19,21,19,22,29,34,36,39,45,44,41,39,38,24
2017/04/19,沙鹿,PM2.5,41,46,49,46,48,52,50,46,42,42,47,53,50,-2#,,49,43,35,31,32,38,48,47,41,44
2017/04/20,沙鹿,PM2.5,38,34,32,37,46,47,42,34,35,31,26,22,24,24,16,18,25,27,19,18,23,19,13,13,28
2017/04/21,沙鹿,PM2.5,16,17,15,14,17,18*,15,14,16,15,19,27,24,16,14,18,16,21,25*,17,19,14,4,6,16
2017/04/22,沙鹿,PM2.5,16,19*,12,8,9,8,11,14,15,18,19,16,16,14,15,15,13,19,23,24,24,24,27,20,17
2017/04/23,沙鹿,PM2.5,16,23,27,20,14,17,15,12,15,17,18,22,29,28,23,20,19,19,19,19,26,30,30,30,21
2017/04/24,沙鹿,PM2.5,34,37,40,43,52,55,50,52,52,47,46,59,66,58,51,47,50,53,53,53,55,53,48,33,49
2017/04/25,沙鹿,PM2.5,29,38,43,44,42,46,47,47,43,36,33,30,33,36,38,42,44,43,43,47,52,55,52,46,42
2017/04/26,沙鹿,PM2.5,38,34,33,35,53,66,60,66,68,58,64,65,61,53,32,25,30,34,38,23,10,16,13,11,41
2017/04/27,沙鹿,PM2.5,9,10,11,12,13,13,8,5,10,12,13,15,13,17,23,21,16,14,15,14,9,7,14,16,13
2017/04/28,沙鹿,PM2.5,12,12,13,17,17,10,10,15,18,19,18,17,23,20,13,14,14,16,15,13,12,10,11,13,15
2017/04/29,沙鹿,PM2.5,37*,40*,16,13,15,17,14,13,14,13,14,17,21,24,24,23,20,18,17,16,17,21,24,26,18
2017/04/30,沙鹿,PM2.5,25,28,33,32,35,43,48,45,42,39,39,38,31,28,26,22,22,24,25,28,34,39,40,38,34
2017/05/01,沙鹿,PM2.5,42,50,50,49,45,43,43,37,35,30,24,24,20,16,17,18,20,26,21,14,21,34,38,36,31
2017/05/02,沙鹿,PM2.5,38,36,32,29,31,32,29,34,31,24,26,34,38,35,36,32,32,36,34,35,44,50,37,23,34
