發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,4天候,7速限,8道路型態,9事故位置
107,07,28,10,11,2,01大同區,大同區重慶北路2段180號,0,1,1,C03,1,18,2,8,50,14,09
107,07,28,10,11,2,01大同區,大同區重慶北路2段180號,0,1,2,B01,1,55,3,8,50,14,09
107,07,28,10,11,2,01大同區,大同區重慶北路2段180號,0,1,3,H03,1,60,3,8,50,14,09
107,08,10,13,26,2,01大同區,大同區承德路3段與承德路3段122巷口,0,1,1,B03,1,63,3,8,50,4,02
107,08,10,13,26,2,01大同區,大同區承德路3段與承德路3段122巷口,0,1,2,C03,2,35,2,8,50,4,02
107,08,16,12,07,2,01大同區,大同區承德路3段與民族西路口,0,1,1,B12,1,40,4,7,50,4,01
107,03,29,14,30,2,01大同區,大同區延平北路4段與酒泉街口,0,1,1,B03,1,61,3,8,50,4,01
107,03,29,14,30,2,01大同區,大同區延平北路4段與酒泉街口,0,1,2,C03,2,41,2,8,50,4,01
107,03,30,07,19,2,01大同區,大同區承德路3段與民權西路口,0,3,2,C03,2,48,2,8,50,4,01
107,03,30,07,19,2,01大同區,大同區承德路3段與民權西路口,0,3,1,,4,0,4,8,50,4,01
107,03,30,07,19,2,01大同區,大同區承德路3段與民權西路口,0,3,3,C03,2,32,2,8,50,4,01
107,03,30,07,19,2,01大同區,大同區承德路3段與民權西路口,0,3,4,C03,1,45,2,8,50,4,01
107,02,10,16,10,2,01大同區,大同區南京西路287號,0,1,1,B03,1,33,3,6,50,14,09
107,02,10,16,10,2,01大同區,大同區南京西路287號,0,1,2,C03,1,26,2,6,50,14,09
107,02,12,16,10,2,01大同區,大同區長安西路180號,0,1,1,C03,2,38,2,8,50,14,09
107,02,12,16,10,2,01大同區,大同區長安西路180號,0,1,2,B02,1,32,3,8,50,14,09
107,08,16,12,07,2,01大同區,大同區承德路3段與民族西路口,0,1,2,C03,1,23,2,7,50,4,01
107,09,10,08,30,2,01大同區,大同區承德路2段與平陽街口,0,1,1,C03,1,39,2,6,50,4,02
107,09,10,08,30,2,01大同區,大同區承德路2段與平陽街口,0,1,2,B01,1,62,3,6,50,4,02
107,02,13,10,20,2,01大同區,大同區錦西街80號,0,1,1,B03,1,51,4,7,50,14,09
107,02,13,10,20,2,01大同區,大同區錦西街80號,0,1,2,C03,1,66,2,7,50,14,09
107,02,14,09,10,2,01大同區,涼州街與安西街口(涼州街102號前),0,1,1,F01,2,58,2,8,0,14,09
107,02,14,09,10,2,01大同區,涼州街與安西街口(涼州街102號前),0,1,2,C03,2,64,3,8,0,14,09
107,03,16,04,55,2,01大同區,大同區蘭州街44號與蘭州街口,0,1,1,B03,1,21,3,7,50,3,01
107,03,16,04,55,2,01大同區,大同區蘭州街44號與蘭州街口,0,1,2,H01,1,56,2,7,50,3,01
107,09,15,23,40,2,01大同區,大同區長安西路與塔城街口,0,1,1,B01,1,67,3,6,50,4,01
107,09,15,23,40,2,01大同區,大同區長安西路與塔城街口,0,1,2,C03,2,33,2,6,50,4,01
107,09,21,19,03,2,01大同區,大同區環河北路1段與歸綏街口,0,1,1,C03,1,56,3,8,50,3,02
107,09,21,19,03,2,01大同區,大同區環河北路1段與歸綏街口,0,1,2,C03,2,55,2,8,50,3,02
107,10,25,14,15,2,01大同區,大同區西寧北路與鄭州路口,0,1,1,B01,1,61,3,8,50,4,02
107,10,25,14,15,2,01大同區,大同區西寧北路與鄭州路口,0,1,2,C03,1,22,2,8,50,4,02
107,11,13,12,15,2,01大同區,大同區承德路2段137號,0,3,1,C03,1,20,2,8,50,14,09
107,11,13,12,15,2,01大同區,大同區承德路2段137號,0,3,2,C01,1,39,2,8,50,14,09
107,11,13,12,15,2,01大同區,大同區承德路2段137號,0,3,3,H02,2,18,2,8,50,14,09
107,11,13,12,15,2,01大同區,大同區承德路2段137號,0,3,4,H02,1,28,3,8,50,14,09
107,11,30,04,59,2,01大同區,大同區承德路2段與民生西路口,0,3,1,B03,1,22,2,7,50,4,01
107,11,30,04,59,2,01大同區,大同區承德路2段與民生西路口,0,3,2,C03,1,33,2,7,50,4,01
107,11,30,04,59,2,01大同區,大同區承德路2段與民生西路口,0,3,3,,3,0,,7,50,4,01
