"sno","sna","tot","sbi","sarea","mday","lat","lng","ar","sareaen","snaen","aren","bemp","act"
"1433","樹林大安站","56","48","樹林區","20180719111844","24.997312","121.421725","大安路118號(外側)","Shulin Dist.","Shulin Da’an","No.118, Da’an Rd., Shulin Dist.","8","1"
"1434","廣停二停車場","36","7","林口區","20180719111816","25.075711","121.370261","民富街99號(對面)","Linkou Dist.","Guangting Sec. Parking Lot","No.99, Minfu St., Linkou Dist.","29","1"
"1435","民義公園","40","3","五股區","20180719111827","25.088350","121.434500","五福路五福路6巷口(五福橋旁公園)","Wugu Dist.","Minyi Park","Wufu Rd./Ln. 6, Wufu Rd., Wugu Dist.","37","1"
"1436","大崙公園","32","6","林口區","20180719111827","25.076613","121.359704","南勢二街408號旁","Linkou Dist.","Dalun Park","No.408, Nanshi 2nd St., Linkou Dist.","26","1"
"1437","成州國小","28","12","五股區","20180719111844","25.099230","121.450630","成泰路三段493號(東側)","Wugu Dist.","Chengzhou Elementary School","No.493, Sec. 3, Chengtai Rd., Wugu Dist.","16","1"
"1438","中興北街42巷17弄","34","18","三重區","20180719111816","25.050060","121.468920","中興北街42巷17弄8號旁","Sanchong Dist.","Aly. 17, Ln. 42, Zhongxing N. St.","No.8, Aly. 17, Ln. 42, Zhongxing N. St., Sanchong Dist.","16","1"
"1439","江翠國小","34","21","板橋區","20180719111816","25.032480","121.474420","文化路二段413號(校門右側人行道)","Banqiao Dist.","Jiangcui Elementary School","No.413, Sec. 2, Wenhua Rd., Banqiao Dist.","13","1"
"1440","華江一華江九路口","40","8","板橋區","20180719111839","25.032884","121.466442","華江一路/華江九路口(東南側人行道)","Banqiao Dist.","Huajiang 1st Rd. /9th Rd. Intersection","Huajiang 1st Rd./ Huajiang 9th Rd, Banciao Dist.","32","1"
"1441","三光國小(金滿意)","36","9","三重區","20180719111844","25.055960","121.496874","大同南路246-1號(對面人行道)","Sanchong Dist.","Sanguang Elementary School(JinManYi)","No.246-1, Datong S. Rd., Sanchong Dist.","27","1"
"1442","蘆洲中路公園","34","3","蘆洲區","20180719111831","25.082299","121.468143","光華路87巷7號(右側)","Luzhou Dist.","Luzhou Zhonglu Park","No.7, Ln. 87, Guanghua Rd., Luzhou Dist.","31","1"
"1443","林口高中","38","25","林口區","20180719111833","25.073840","121.380300","仁愛路二段173號(對面)","Linkou Dist.","Linkou Senior High School","No.173, Sec. 2, Ren’ai Rd","12","1"
"1444","雙和橋","34","18","永和區","20180719111825","25.005731","121.505743","中山路二段3巷2號(對面公園)","Yonghe Dist.","Shuanghe Bridge","No.2, Ln. 3, Sec. 2, Zhongshan Rd., Zhonghe Dist.","16","1"
"1445","海山高中","52","18","板橋區","20180719111833","25.009108","121.471493","漢生東路215號(右側人行道)","Banqiao Dist.","Haishan High School","No.215, Hansheng E. Rd., Banqiao Dist.","33","1"
"1446","環河西路一段95巷口","32","14","永和區","20180719111827","25.017830","121.511957","環河西路一段/環河西路一段95巷(人行道)","Yonghe Dist.","Ln. 95, Sec. 1, Huanhe W. Rd.Intersection","Sec. 1, Huanhe W. Rd. / Ln. 95, Sec. 1, Huanhe W. Rd., Yonghe Dist.","18","1"
"1447","碧河宮","40","27","中和區","20180719111821","24.996726","121.493134","連城路/連城路261巷口","Zhonghe Dist.","Bihe Temple","Liancheng Rd. / Ln. 261, Liancheng Rd., Zhonghe Dist.","13","1"
