日期,測站,測項,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017/04/13,南投,PM2.5,35,32,25,25,34,41,40,44,45,41,38,30,25,20,33,,57,57,55,57,68,71,58,50
2017/04/14,南投,PM2.5,48,45,46,47,45,47,44,44,45,41,41,42,39,38,39,34,28,22,20,23,26,27,27,32
2017/04/15,南投,PM2.5,30,28,28,32,34,33,33,33,32,29,32,45,52,54,54,48,49,48,43,41,40,38,37,38
2017/04/16,南投,PM2.5,43,42,39,39,41,42,41,43,47,40,25,25,28,25,21,22,23,18,16,18,19,25,26,18
2017/04/17,南投,PM2.5,19,24,19,18,20,21,23,28,29,26,18,10,9,14,19,14,14,16,10,7,13,14,10,10
2017/04/18,南投,PM2.5,13,13,10,8,8,15,18,17,12,10,21,23,20,20,18,15,15,21,30,34,32,35,35,33
2017/04/19,南投,PM2.5,36,41,39,36,32,29,26,25,29,28,32,42,44,46,44,41,42,38,32,32,29,28,26,27
2017/04/20,南投,PM2.5,33,30,25,25,27,26,25,23,18,16,23,32,29,,27,26,24,21,19,18,16,12,12,14
2017/04/21,南投,PM2.5,14,13,12,11,9,13,13,14,16,14,14,12,12,15,18,17,16,19,16,15,11,12,16,11
2017/04/22,南投,PM2.5,8,11,11,14,13,6,7,11,16,15,13,15,16,17,19,19,19,22,25,21,17,20,26,29
2017/04/23,南投,PM2.5,30,32,34,35,33,28,35,40,35,32,29,28,33,34,29,32,37,35,35,42,43,46,50,46
2017/04/24,南投,PM2.5,49,49,44,44,42,34,28,30,33,33,29,24,26,25,17,19,-9#,29,38,59,68,62,61,64
2017/04/25,南投,PM2.5,63,59,53,53,54,45,39,38,41,47,60,69,67,61,55,46,44,47,49,54,53,49,51,51
2017/04/26,南投,PM2.5,50,52,51,48,41,38,46,50,46,40,33,26,24,25,32,39,40,34,25,25,30,24,19,24
2017/04/27,南投,PM2.5,25,18,13,14,14,12,11,12,16,19,-9#,13,15,16,19,22,21,22,19,12,9,9,12,10
